Province,District,Year,Household_Size,Area_Classification,Population,PHC_Headcount,PHC_Facilities_Total,Med_Pracs_per100k,PHC_Expend_per_capita,StatsSA_Households_Cellphone,StatsSA_Households_LandCell (%),StatsSA_Households_MobileInt (%),StatsSA_Households_PubWIFI (%),StatsSA_Households_WorkInt (%),StatsSA_Households_AnyIntAccess (%),Distance_PHC (km)
EC,A Nzo DM: DC44,2022,4.7,Rural,1660133,2330598,74,34.3904,1095.837,88.4,3.5,63.6,4.2,9.8,66.9,0.91
EC,A Nzo DM: DC44,2023,4.7,Rural,1662224,2425640,74,38.8066,1077.148,90.2,2.3,67.2,5.6,9.8,70.2,0.91
EC,A Nzo DM: DC44,2024,4.7,Rural,832500,1485616,76,34.7234,1161.001,91.3,1.4,68,1.7,8.6,70.7,0.91
EC,Amathole DM: DC12,2022,3.6,Rural,1574834,3044954,148,34.3904,1095.837,88.4,3.5,63.6,4.2,9.8,66.9,0.24
EC,Amathole DM: DC12,2023,3.6,Rural,1557768,3144646,148,38.8066,1077.148,90.2,2.3,67.2,5.6,9.8,70.2,0.24
EC,Amathole DM: DC12,2024,3.6,Rural,770438,1977780,148,34.7234,1161.001,91.3,1.4,68,1.7,8.6,70.7,0.24
EC,Buffalo City MM: BUF,2022,3.6,Urban,1593518,2611218,79,34.3904,1095.837,88.4,3.5,63.6,4.2,9.8,66.9,0.91
EC,Buffalo City MM: BUF,2023,3.6,Urban,1588628,2710203,79,38.8066,1077.148,90.2,2.3,67.2,5.6,9.8,70.2,0.91
EC,Buffalo City MM: BUF,2024,3.6,Urban,791614,1785680,79,34.7234,1161.001,91.3,1.4,68,1.7,8.6,70.7,0.91
EC,C Hani DM: DC13,2022,3.7,Rural,1442868,2960095,159,34.3904,1095.837,88.4,3.5,63.6,4.2,9.8,66.9,2.3
EC,C Hani DM: DC13,2023,3.7,Rural,1424007,3052599,159,38.8066,1077.148,90.2,2.3,67.2,5.6,9.8,70.2,2.3
EC,C Hani DM: DC13,2024,3.7,Rural,702218,1763283,159,34.7234,1161.001,91.3,1.4,68,1.7,8.6,70.7,2.3
EC,Joe Gqabi DM: DC14,2022,3.2,Rural,681370,1134030,52,34.3904,1095.837,88.4,3.5,63.6,4.2,9.8,66.9,8.99
EC,Joe Gqabi DM: DC14,2023,3.2,Rural,676891,1174376,52,38.8066,1077.148,90.2,2.3,67.2,5.6,9.8,70.2,8.99
EC,Joe Gqabi DM: DC14,2024,3.2,Rural,336219,745262,52,34.7234,1161.001,91.3,1.4,68,1.7,8.6,70.7,8.99
EC,N Mandela Bay MM: NMA,2022,3.9,Urban,2428647,3018637,48,34.3904,1095.837,88.4,3.5,63.6,4.2,9.8,66.9,0.91
EC,N Mandela Bay MM: NMA,2023,3.9,Urban,2432359,3142276,48,38.8066,1077.148,90.2,2.3,67.2,5.6,9.8,70.2,0.91
EC,N Mandela Bay MM: NMA,2024,3.9,Urban,1218016,2224174,48,34.7234,1161.001,91.3,1.4,68,1.7,8.6,70.7,0.91
EC,OR Tambo DM: DC15,2022,4.8,Rural,3082160,4608280,153,34.3904,1095.837,88.4,3.5,63.6,4.2,9.8,66.9,4.52
EC,OR Tambo DM: DC15,2023,4.8,Rural,3111624,4821535,153,38.8066,1077.148,90.2,2.3,67.2,5.6,9.8,70.2,4.52
EC,OR Tambo DM: DC15,2024,4.8,Rural,1571532,2793805,153,34.7234,1161.001,91.3,1.4,68,1.7,8.6,70.7,4.52
EC,Sarah Baartman DM: DC10,2022,3.4,Rural,966048,1480635,63,34.3904,1095.837,88.4,3.5,63.6,4.2,9.8,66.9,8.99
EC,Sarah Baartman DM: DC10,2023,3.4,Rural,969327,1543111,63,38.8066,1077.148,90.2,2.3,67.2,5.6,9.8,70.2,8.99
