Province,District,Year,Area_Classification,Population,PHC_Headcount,PHC_Facilities_Total,Med_Pracs_per100k,PHC_Expend_pc,StatsSA_Households_Landline (%),StatsSA_Households_Cellphone (%),StatsSA_Households_LandCell (%),StatsSA_Household_None (%),StatsSA_Households_MobileInt (%),StatsSA_Households_FixInt (%),StatsSA_Households_PubWIFI (%),StatsSA_Households_WorkInt ()%),StatsSA_Households_AnyIntAccess (%),Distance_PHC (km)
FS,Mangaung MM: MAN,2024,Urban,892675,1356405,48,21.6222,1560.983,0,87.9,5.7,6,72,11.3,5.2,8.7,77.2,0.24
FS,T Mofutsanyana DM: DC19,2022,Rural,1512793,,72,23.5858,1746.735,0.1,82.5,10.4,7,68.2,6.2,6.1,8.6,72.6,4.52
FS,T Mofutsanyana DM: DC19,2023,Rural,1514357,,72,24.7306,1704.188,0.1,88.3,5.2,6.4,71.5,6.9,7.4,9,75.3,4.52
FS,T Mofutsanyana DM: DC19,2024,Rural,758118,1487118,72,21.6222,1560.983,0,87.9,5.7,6,72,11.3,5.2,8.7,77.2,4.52
FS,Xhariep DM: DC16,2022,Rural,254238,,17,23.5858,1746.735,0.1,82.5,10.4,7,68.2,6.2,6.1,8.6,72.6,0.24
FS,Xhariep DM: DC16,2023,Rural,254502,,17,24.7306,1704.188,0.1,88.3,5.2,6.4,71.5,6.9,7.4,9,75.3,0.24
FS,Xhariep DM: DC16,2024,Rural,127471,323189,17,21.6222,1560.983,0,87.9,5.7,6,72,11.3,5.2,8.7,77.2,0.24
GP,City of Ekurhuleni MM: EKU,2022,Urban,8161398,,93,40.9064,1469.511,0.2,91.5,6,2.4,71.5,18.6,11.5,19.3,80,0.24
GP,City of Ekurhuleni MM: EKU,2023,Urban,8330220,,93,39.35,1383.721,0.1,91.7,5.9,2.4,73.1,21.5,11.3,21.3,81.9,0.24
GP,City of Ekurhuleni MM: EKU,2024,Urban,4250640,5046401,93,38.0526,1327.169,0.1,90.1,7.9,1.9,75.7,28.5,10,18.9,86,0.24
GP,Johannesburg MM: JHB,2022,Urban,12242645,,118,40.9064,1469.511,0.2,91.5,6,2.4,71.5,18.6,11.5,19.3,80,0.24
GP,Johannesburg MM: JHB,2023,Urban,12590143,,118,39.35,1383.721,0.1,91.7,5.9,2.4,73.1,21.5,11.3,21.3,81.9,0.24
GP,Johannesburg MM: JHB,2024,Urban,6465812,7346086,119,38.0526,1327.169,0.1,90.1,7.9,1.9,75.7,28.5,10,18.9,86,0.24
GP,Sedibeng DM: DC42,2022,Rural,1932460,,38,40.9064,1469.511,0.2,91.5,6,2.4,71.5,18.6,11.5,19.3,80,0.91
GP,Sedibeng DM: DC42,2023,Rural,1937998,,38,39.35,1383.721,0.1,91.7,5.9,2.4,73.1,21.5,11.3,21.3,81.9,0.91
GP,Sedibeng DM: DC42,2024,Rural,972188,1483021,38,38.0526,1327.169,0.1,90.1,7.9,1.9,75.7,28.5,10,18.9,86,0.91
GP,Tshwane MM: TSH,2022,Urban,7720026,,74,40.9064,1469.511,0.2,91.5,6,2.4,71.5,18.6,11.5,19.3,80,0.24
GP,Tshwane MM: TSH,2023,Urban,7900436,,74,39.35,1383.721,0.1,91.7,5.9,2.4,73.1,21.5,11.3,21.3,81.9,0.24
GP,Tshwane MM: TSH,2024,Urban,4038360,3898876,74,38.0526,1327.169,0.1,90.1,7.9,1.9,75.7,28.5,10,18.9,86,0.24
GP,West Rand DM: DC48,2022,Rural,1939090,,50,40.9064,1469.511,0.2,91.5,6,2.4,71.5,18.6,11.5,19.3,80,0.91
GP,West Rand DM: DC48,2023,Rural,1965505,,50,39.35,1383.721,0.1,91.7,5.9,2.4,73.1,21.5,11.3,21.3,81.9,0.91
GP,West Rand DM: DC48,2024,Rural,996636,1519046,50,38.0526,1327.169,0.1,90.1,7.9,1.9,75.7,28.5,10,18.9,86,0.91
KZ,Amajuba DM: DC25,2022,Rural,1144016,,26,35.2408,1886.864,0,86.3,9.2,4.4,74.6,8.3,6.8,11.6,75.9,8.99
KZ,Amajuba DM: DC25,2023,Rural,1155746,,26,33.8774,1713.592,0.1,90.4,6.5,3,78.5,6.9,7.8,16.9,80.6,8.99
